# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-10-13          569733              11401               021                 000282            011224            010942
000001         2020-10-14          569733              11495               094                 000285            011289            011004
000002         2020-10-15          569733              11530               035                 000288            011337            011049
000003         2020-10-16          569733              11583               053                 000289            011405            011116
000004         2020-10-17          569733              11646               063                 000291            011410            011119
000005         2020-10-18          569733              11687               041                 000292            011419            011127
000006         2020-10-19          569733              11732               045                 000294            011529            011235
000007         2020-10-20          569733              11808               076                 000296            011589            011293
000008         2020-10-21          569733              11898               090                 000297            011689            011392
000009         2020-10-22          569733              11969               071                 000298            011763            011465
000010         2020-10-23          569733              12056               087                 000301            011830            011529
000011         2020-10-24          569733              12170               114                 000302            011878            011576
000012         2020-10-25          569733              12225               055                 000302            011910            011608
000013         2020-10-26          569733              12249               024                 000306            012013            011707
