#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               557210.0                           236.0                            12013.0                            274.0                         12249.0                     569733.0000                        569733.0                            51.6
        1.00                               557193.9                           260.2                            12040.4                            238.5                         12300.6                     569733.0000                        569733.1                            45.2
        2.00                               557176.4                           275.8                            12070.0                            210.8                         12345.8                     569733.0000                        569733.1                            40.2
        3.00                               557158.1                           285.0                            12101.0                            188.9                         12386.0                     569733.0000                        569732.9                            36.2
        4.00                               557139.3                           289.3                            12132.8                            171.5                         12422.2                     569733.0000                        569732.9                            33.0
        5.00                               557120.4                           290.2                            12165.0                            157.4                         12455.2                     569733.0000                        569732.9                            30.4
        6.00                               557101.4                           288.5                            12197.1                            145.9                         12485.6                     569733.0000                        569732.9                            28.3
        7.00                               557082.7                           285.0                            12228.9                            136.4                         12513.9                     569733.0000                        569733.1                            26.5
        8.00                               557064.2                           280.2                            12260.3                            128.4                         12540.4                     569733.0000                        569733.0                            25.0
        9.00                               557045.9                           274.4                            12291.1                            121.5                         12565.5                     569733.0000                        569732.9                            23.7
       10.00                               557028.1                           268.0                            12321.2                            115.5                         12589.2                     569733.0000                        569732.8                            22.6
       11.00                               557010.8                           261.2                            12350.6                            110.3                         12611.8                     569733.0000                        569732.9                            21.6
       12.00                               556993.9                           254.2                            12379.2                            105.5                         12633.4                     569733.0000                        569732.9                            20.7
       13.00                               556977.5                           247.0                            12407.1                            101.3                         12654.1                     569733.0000                        569732.8                            19.9
       14.00                               556961.6                           239.8                            12434.1                             97.3                         12674.0                     569733.0000                        569732.9                            19.1
       15.00                               556946.1                           232.7                            12460.4                             93.7                         12693.1                     569733.0000                        569732.8                            18.4
       16.00                               556931.1                           225.6                            12485.8                             90.3                         12711.5                     569733.0000                        569732.8                            17.7
       17.00                               556916.5                           218.7                            12510.5                             87.1                         12729.2                     569733.0000                        569732.9                            17.1
       18.00                               556902.4                           211.9                            12534.5                             84.1                         12746.4                     569733.0000                        569732.8                            16.5
       19.00                               556888.7                           205.3                            12557.6                             81.2                         12762.9                     569733.0000                        569732.8                            16.0
       20.00                               556875.4                           198.8                            12580.1                             78.5                         12778.9                     569733.0000                        569732.6                            15.4
