#	data		pplç	cnfr	Novos	óbitos	Remov	Recup
0	04/27/20	569733	99	2	13	81	68
1	04/28/20	569733	100	1	13	82	69
2	04/29/20	569733	102	2	13	83	70
3	04/30/20	569733	102	0	13	83	70
4	05/01/20	569733	104	2	13	84	71
5	05/02/20	569733	106	2	13	85	72
6	05/03/20	569733	108	2	13	85	72
7	05/04/20	569733	108	0	13	85	72
8	05/05/20	569733	110	2	13	89	76
9	05/06/20	569733	110	0	14	90	76
10	05/07/20	569733	110	0	14	91	77
11	05/08/20	569733	112	2	14	92	78
12	05/09/20	569733	112	0	14	102	88
13	05/10/20	569733	112	0	14	102	88
14	05/11/20	569733	117	5	15	107	92
15	05/12/20	569733	120	3	15	107	92
16	05/13/20	569733	122	2	15	110	95
17	05/14/20	569733	122	0	15	110	95
18	05/15/20	569733	125	3	15	113	98
19	05/16/20	569733	126	1	15	113	98
20	05/17/20	569733	134	8	16	114	98
21	05/18/20	569733	143	9	16	114	98
22	05/19/20	569733	162	19	18	119	101
23	05/20/20	569733	175	13	18	123	105
24	05/21/20	569733	197	22	19	131	112
25	05/22/20	569733	226	29	20	140	120
26	05/23/20	569733	255	29	20	142	122
27	05/24/20	569733	272	17	20	142	122
28	05/25/20	569733	297	25	20	152	132
29	05/26/20	569733	312	15	20	181	161
30	05/27/20	569733	321	9	21	197	176
31	05/28/20	569733	340	19	21	204	183
32	05/29/20	569733	366	26	22	219	197
33	05/30/20	569733	403	37	24	221	197
34	05/31/20	569733	413	10	24	221	197
35	06/01/20	569733	435	22	25	265	240
36	06/02/20	569733	452	17	28	298	270
37	06/03/20	569733	492	40	30	325	295
38	06/04/20	569733	511	19	31	357	326
39	06/05/20	569733	540	29	31	373	342
40	06/06/20	569733	571	31	31	376	345
41	06/07/20	569733	587	16	31	376	345
42	06/08/20	569733	597	10	34	431	397
43	06/09/20	569733	641	44	34	473	439
44	06/10/20	569733	676	35	34	496	462
45	06/11/20	569733	723	47	35	497	462
46	06/12/20	569733	735	12	37	500	463
47	06/13/20	569733	790	55	40	553	513
48	06/14/20	569733	795	5	45	557	512
49	06/15/20	569733	855	55	50	600	550
50	06/16/20	569733	893	38	51	628	577
51	06/17/20	569733	915	22	53	665	612
52	06/18/20	569733	929	14	56	700	644
53	06/19/20	569733	997	68	59	703	644
54	06/20/20	569733	1042	45	60	705	645
55	06/21/20	569733	1070	32	40	685	645
56	06/22/20	569733	1080	10	62	785	723
57	06/23/20	569733	1096	16	64	842	778
58	06/24/20	569733	1130	34	66	921	855
59	06/25/20	569733	1176	46	68	947	879
60	06/26/20	569733	1194	18	72	1002	930
61	06/27/20	569733	1257	63	75	1008	933
62	06/28/20	569733	1294	37	76	1009	933
63	06/29/20	569733	1305	11	78	1056	978
64	06/30/20	569733	1336	29	81	1092	1011
65	07/01/20	569733	1346	10	82	1133	1051
66	07/02/20	569733	1370	24	83	1174	1091
67	07/03/20	569733	1394	24	85	1230	1145
68	07/04/20	569733	1455	61	86	1247	1161
69	07/05/20	569733	1559	104	85	1246	1161
70	07/06/20	569733	1592	33	88	1233	1145
71	07/07/20	569733	1694	102	90	1400	1310
72	07/08/20	569733	1761	67	91	1457	1366
73	07/09/20	569733	1800	39	93	1521	1428
74	07/10/20	569733	1825	25	93	1579	1486
75	07/11/20	569733	1890	65	93	1619	1526
76	07/12/20	569733	1897	7	93	1619	1526
77	07/13/20	569733	1926	29	95	1706	1611
78	07/14/20	569733	2057	131	97	1755	1658
79	07/15/20	569733	2136	79	97	1797	1700
80	07/16/20	569733	2244	108	98	1846	1748
81	07/17/20	569733	2285	41	99	1936	1837
82	07/18/20	569733	2370	85	100	1939	1839
83	07/19/20	569733	2403	33	101	2022	1921
84	07/20/20	569733	2441	38	104	2153	2049
85	07/21/20	569733	2457	16	105	2217	2112
