# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-07-01          569733              1346                10                  000082            001133            001051
000001         2020-07-02          569733              1370                24                  000083            001174            001091
000002         2020-07-03          569733              1394                24                  000085            001230            001145
000003         2020-07-04          569733              1455                61                  000086            001247            001161
000004         2020-07-05          569733              1559                104                 000085            001246            001161
000005         2020-07-06          569733              1592                33                  000088            001233            001145
000006         2020-07-07          569733              1694                102                 000090            001400            001310
000007         2020-07-08          569733              1761                67                  000091            001457            001366
000008         2020-07-09          569733              1800                39                  000093            001521            001428
000009         2020-07-10          569733              1825                25                  000093            001579            001486
000010         2020-07-11          569733              1890                65                  000093            001619            001526
000011         2020-07-12          569733              1897                07                  000093            001619            001526
000012         2020-07-13          569733              1926                29                  000095            001706            001611
000013         2020-07-14          569733              2057                131                 000097            001755            001658
