#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               564776.0                           478.0                             4192.0                            287.0                          4670.0                     569733.0000                        569733.0                            57.7
        1.00                               564715.1                           482.4                             4245.4                            290.2                          4727.7                     569733.0000                        569733.0                            58.4
        2.00                               564653.6                           486.9                             4299.2                            293.3                          4786.1                     569733.0000                        569732.9                            59.0
        3.00                               564591.5                           491.5                             4353.6                            296.4                          4845.0                     569733.0000                        569733.0                            59.6
        4.00                               564528.8                           496.2                             4408.4                            299.5                          4904.6                     569733.0000                        569732.9                            60.2
        5.00                               564465.6                           501.0                             4463.8                            302.5                          4964.8                     569733.0000                        569732.9                            60.8
        6.00                               564401.8                           505.9                             4519.8                            305.5                          5025.6                     569733.0000                        569733.0                            61.4
        7.00                               564337.4                           510.8                             4576.3                            308.6                          5087.1                     569733.0000                        569733.0                            62.0
        8.00                               564272.3                           515.8                             4633.3                            311.6                          5149.1                     569733.0000                        569733.1                            62.6
        9.00                               564206.6                           520.8                             4690.9                            314.7                          5211.7                     569733.0000                        569733.0                            63.3
       10.00                               564140.3                           525.9                             4749.0                            317.8                          5275.0                     569733.0000                        569733.1                            63.9
       11.00                               564073.4                           531.1                             4807.8                            320.9                          5338.8                     569733.0000                        569733.1                            64.5
       12.00                               564005.8                           536.3                             4867.1                            324.0                          5403.3                     569733.0000                        569733.1                            65.1
       13.00                               563937.4                           541.5                             4926.9                            327.2                          5468.5                     569733.0000                        569733.1                            65.8
       14.00                               563868.4                           546.8                             4987.4                            330.4                          5534.2                     569733.0000                        569733.0                            66.4
       15.00                               563798.8                           552.2                             5048.5                            333.6                          5600.6                     569733.0000                        569733.0                            67.0
       16.00                               563728.5                           557.6                             5110.1                            336.8                          5667.7                     569733.0000                        569733.0                            67.7
       17.00                               563657.6                           563.0                             5172.4                            340.1                          5735.3                     569733.0000                        569733.0                            68.3
       18.00                               563585.9                           568.5                             5235.2                            343.4                          5803.7                     569733.0000                        569733.1                            69.0
       19.00                               563513.6                           574.0                             5298.7                            346.7                          5872.7                     569733.0000                        569732.9                            69.7
       20.00                               563440.6                           579.6                             5362.8                            350.0                          5942.4                     569733.0000                        569733.1                            70.3
       21.00                               563366.8                           585.2                             5427.5                            353.4                          6012.7                     569733.0000                        569733.0                            71.0
       22.00                               563292.4                           590.9                             5492.8                            356.8                          6083.8                     569733.0000                        569732.9                            71.7
       23.00                               563217.2                           596.6                             5558.8                            360.3                          6155.5                     569733.0000                        569732.9                            72.4
       24.00                               563141.4                           602.4                             5625.4                            363.7                          6227.9                     569733.0000                        569732.9                            73.1
       25.00                               563064.8                           608.3                             5692.7                            367.2                          6301.0                     569733.0000                        569732.9                            73.8
       26.00                               562987.4                           614.1                             5760.6                            370.7                          6374.8                     569733.0000                        569732.9                            74.5
       27.00                               562909.4                           620.1                             5829.2                            374.3                          6449.3                     569733.0000                        569732.9                            75.2
       28.00                               562830.6                           626.1                             5898.4                            377.9                          6524.5                     569733.0000                        569733.0                            75.9
       29.00                               562751.1                           632.1                             5968.3                            381.5                          6600.4                     569733.0000                        569732.9                            76.7
       30.00                               562670.9                           638.2                             6038.9                            385.1                          6677.1                     569733.0000                        569733.1                            77.4
       31.00                               562589.8                           644.3                             6110.1                            388.8                          6754.4                     569733.0000                        569733.0                            78.1
       32.00                               562507.9                           650.5                             6182.1                            392.5                          6832.6                     569733.0000                        569733.0                            78.9
