# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-12-04          569733              15604               064                 000361            015224            014863
000001         2020-12-05          569733              15790               186                 000362            015330            014968
000002         2020-12-06          569733              15944               154                 000364            015487            015123
000003         2020-12-07          569733              16008               064                 000365            015613            015248
000004         2020-12-08          569733              16178               170                 000369            015785            015416
000005         2020-12-09          569733              16791               613                 000371            016411            016040
000006         2020-12-10          569733              16961               170                 000372            016572            016200
000007         2020-12-11          569733              17190               229                 000374            016752            016378
000008         2020-12-12          569733              17281               091                 000377            016899            016522
000009         2020-12-13          569733              17446               165                 000380            017120            016740
000010         2020-12-14          569733              17601               155                 000383            017282            016899
000011         2020-12-15          569733              17851               250                 000387            017489            017102
000012         2020-12-16          569733              18010               159                 000393            017549            017156
000013         2020-12-17          569733              18262               252                 000398            017855            017457
