#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               551254.0                           407.0                            17855.0                            217.0                         18262.0                     569733.0000                        569733.0                            41.6
        1.00                               551231.6                           403.7                            17900.0                            197.7                         18303.6                     569733.0000                        569732.9                            38.1
        2.00                               551209.6                           397.3                            17944.4                            181.7                         18341.7                     569733.0000                        569732.9                            35.1
        3.00                               551187.9                           388.7                            17988.0                            168.3                         18376.8                     569733.0000                        569733.0                            32.6
        4.00                               551166.8                           378.7                            18030.7                            156.8                         18409.3                     569733.0000                        569732.9                            30.4
        5.00                               551146.2                           367.7                            18072.1                            147.0                         18439.8                     569733.0000                        569733.1                            28.6
        6.00                               551126.3                           356.1                            18112.3                            138.3                         18468.4                     569733.0000                        569733.0                            26.9
        7.00                               551107.1                           344.1                            18151.2                            130.7                         18495.3                     569733.0000                        569733.1                            25.5
        8.00                               551088.4                           332.0                            18188.8                            123.9                         18520.8                     569733.0000                        569733.1                            24.2
        9.00                               551070.4                           320.0                            18225.0                            117.7                         18545.0                     569733.0000                        569733.1                            23.0
       10.00                               551053.1                           308.1                            18259.9                            112.0                         18567.9                     569733.0000                        569733.0                            21.9
       11.00                               551036.4                           296.4                            18293.5                            106.8                         18589.8                     569733.0000                        569733.0                            20.9
       12.00                               551020.3                           284.9                            18325.8                            101.9                         18610.7                     569733.0000                        569732.9                            19.9
       13.00                               551004.9                           273.8                            18356.8                             97.4                         18630.7                     569733.0000                        569732.9                            19.1
       14.00                               550990.1                           263.1                            18386.7                             93.1                         18649.7                     569733.0000                        569732.9                            18.2
       15.00                               550975.9                           252.6                            18415.3                             89.1                         18667.9                     569733.0000                        569732.9                            17.4
       16.00                               550962.2                           242.6                            18442.8                             85.3                         18685.4                     569733.0000                        569732.9                            16.7
       17.00                               550949.1                           232.8                            18469.3                             81.7                         18702.1                     569733.0000                        569732.9                            16.0
       18.00                               550936.5                           223.5                            18494.6                             78.3                         18718.1                     569733.0000                        569732.9                            15.3
       19.00                               550924.4                           214.5                            18519.0                             75.0                         18733.4                     569733.0000                        569732.8                            14.7
       20.00                               550912.7                           205.8                            18542.3                             71.9                         18748.1                     569733.0000                        569732.7                            14.1
       21.00                               550901.5                           197.5                            18564.7                             68.9                         18762.2                     569733.0000                        569732.7                            13.5
       22.00                               550890.8                           189.5                            18586.2                             66.1                         18775.7                     569733.0000                        569732.7                            13.0
       23.00                               550880.6                           181.8                            18606.9                             63.4                         18788.7                     569733.0000                        569732.6                            12.4
       24.00                               550870.8                           174.4                            18626.7                             60.8                         18801.1                     569733.0000                        569732.6                            11.9
       25.00                               550861.3                           167.4                            18645.7                             58.3                         18813.0                     569733.0000                        569732.7                            11.4
       26.00                               550852.2                           160.6                            18663.9                             55.9                         18824.4                     569733.0000                        569732.6                            11.0
       27.00                               550843.6                           154.0                            18681.4                             53.6                         18835.4                     569733.0000                        569732.6                            10.5
