#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               541096.0                           477.0                            27946.0                            214.0                         28423.0                     569733.0000                        569733.0                            44.2
        1.00                               541036.2                           468.6                            27998.6                            229.6                         28467.2                     569733.0000                        569733.0                            47.0
        2.00                               540977.2                           463.7                            28050.5                            241.6                         28514.2                     569733.0000                        569733.1                            49.2
        3.00                               540918.7                           461.4                            28101.9                            250.9                         28563.4                     569733.0000                        569732.9                            50.9
        4.00                               540860.4                           461.0                            28153.2                            258.3                         28614.2                     569733.0000                        569732.9                            52.2
        5.00                               540802.0                           461.9                            28204.5                            264.4                         28666.4                     569733.0000                        569732.8                            53.3
        6.00                               540743.5                           463.8                            28255.9                            269.5                         28719.8                     569733.0000                        569732.7                            54.3
        7.00                               540684.8                           466.5                            28307.6                            273.9                         28774.1                     569733.0000                        569732.8                            55.2
        8.00                               540625.7                           469.6                            28359.7                            277.8                         28829.2                     569733.0000                        569732.8                            55.9
        9.00                               540566.1                           473.1                            28412.0                            281.4                         28885.2                     569733.0000                        569732.6                            56.6
       10.00                               540506.1                           476.9                            28464.8                            284.7                         28941.8                     569733.0000                        569732.6                            57.3
       11.00                               540445.7                           481.0                            28518.0                            287.9                         28999.0                     569733.0000                        569732.6                            57.9
       12.00                               540384.7                           485.2                            28571.7                            291.0                         29056.9                     569733.0000                        569732.6                            58.5
       13.00                               540323.1                           489.5                            28625.9                            294.0                         29115.4                     569733.0000                        569732.4                            59.1
       14.00                               540261.1                           494.0                            28680.5                            296.9                         29174.5                     569733.0000                        569732.4                            59.7
       15.00                               540198.6                           498.5                            28735.7                            299.8                         29234.1                     569733.0000                        569732.5                            60.3
       16.00                               540135.4                           503.1                            28791.3                            302.7                         29294.4                     569733.0000                        569732.6                            60.8
       17.00                               540071.7                           507.8                            28847.5                            305.6                         29355.2                     569733.0000                        569732.5                            61.4
       18.00                               540007.4                           512.5                            28904.1                            308.5                         29416.6                     569733.0000                        569732.5                            62.0
       19.00                               539942.4                           517.3                            28961.3                            311.4                         29478.6                     569733.0000                        569732.6                            62.6
       20.00                               539876.9                           522.1                            29019.1                            314.3                         29541.2                     569733.0000                        569732.5                            63.2
       21.00                               539810.8                           527.0                            29077.4                            317.3                         29604.4                     569733.0000                        569732.5                            63.8
       22.00                               539744.1                           531.9                            29136.2                            320.3                         29668.1                     569733.0000                        569732.5                            64.4
       23.00                               539676.8                           536.9                            29195.6                            323.2                         29732.5                     569733.0000                        569732.5                            64.9
       24.00                               539608.9                           541.9                            29255.5                            326.2                         29797.4                     569733.0000                        569732.5                            65.5
       25.00                               539540.3                           547.0                            29316.0                            329.3                         29863.0                     569733.0000                        569732.5                            66.2
       26.00                               539471.1                           552.1                            29377.1                            332.3                         29929.1                     569733.0000                        569732.6                            66.8
       27.00                               539401.3                           557.2                            29438.7                            335.4                         29995.9                     569733.0000                        569732.6                            67.4
       28.00                               539330.9                           562.4                            29500.9                            338.5                         30063.3                     569733.0000                        569732.6                            68.0
       29.00                               539259.8                           567.6                            29563.7                            341.6                         30131.3                     569733.0000                        569732.7                            68.6
       30.00                               539187.9                           572.9                            29627.0                            344.8                         30199.9                     569733.0000                        569732.6                            69.3
