# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-03-28          569733              24                  24                  000000            000000            000000
000001         2020-03-29          569733              24                  00                  000000            000000            000000
000002         2020-03-30          569733              24                  00                  000000            000000            000000
000003         2020-03-31          569733              24                  00                  000000            000000            000000
000004         2020-04-01          569733              26                  02                  000000            000000            000000
000005         2020-04-02          569733              34                  08                  000000            000000            000000
000006         2020-04-03          569733              36                  02                  000001            000001            000000
000007         2020-04-04          569733              36                  00                  000001            000001            000000
000008         2020-04-05          569733              51                  15                  000001            000001            000000
000009         2020-04-06          569733              55                  04                  000001            000001            000000
000010         2020-04-07          569733              58                  03                  000002            000002            000000
000011         2020-04-08          569733              60                  02                  000002            000002            000000
000012         2020-04-09          569733              61                  01                  000002            000002            000000
000013         2020-04-10          569733              65                  04                  000003            000003            000000
000014         2020-04-11          569733              68                  03                  000004            000004            000000
000015         2020-04-12          569733              68                  00                  000004            000004            000000
000016         2020-04-13          569733              72                  03                  000004            000004            000000
000017         2020-04-14          569733              74                  02                  000004            000004            000000
000018         2020-04-15          569733              74                  00                  000004            000004            000000
000019         2020-04-16          569733              76                  02                  000004            000004            000000
000020         2020-04-17          569733              81                  05                  000005            000005            000000
000021         2020-04-18          569733              83                  02                  000006            000006            000000
000022         2020-04-19          569733              91                  08                  000007            000007            000000
000023         2020-04-20          569733              92                  01                  000007            000007            000000
000024         2020-04-21          569733              92                  00                  000008            000008            000000
000025         2020-04-22          569733              90                  00                  000008            000008            000000
000026         2020-04-23          569733              92                  02                  000009            000009            000000
000027         2020-04-24          569733              93                  01                  000010            000010            000000
000028         2020-04-25          569733              96                  03                  000013            000013            000000
000029         2020-04-26          569733              97                  01                  000013            000013            000000
000030         2020-04-27          569733              99                  02                  000013            000081            000068
000031         2020-04-28          569733              100                 01                  000013            000082            000069
000032         2020-04-29          569733              102                 02                  000013            000083            000070
000033         2020-04-30          569733              102                 00                  000013            000083            000070
000034         2020-05-01          569733              104                 02                  000013            000084            000071
000035         2020-05-02          569733              106                 02                  000013            000085            000072
000036         2020-05-03          569733              108                 02                  000013            000085            000072
000037         2020-05-04          569733              108                 00                  000013            000085            000072
000038         2020-05-05          569733              110                 02                  000013            000089            000076
000039         2020-05-06          569733              110                 00                  000014            000090            000076
000040         2020-05-07          569733              110                 00                  000014            000091            000077
000041         2020-05-08          569733              112                 02                  000014            000092            000078
000042         2020-05-09          569733              112                 00                  000014            000102            000088
000043         2020-05-10          569733              112                 00                  000014            000102            000088
000044         2020-05-11          569733              117                 05                  000015            000107            000092
000045         2020-05-12          569733              120                 03                  000015            000107            000092
000046         2020-05-13          569733              122                 02                  000015            000110            000095
000047         2020-05-14          569733              122                 00                  000015            000110            000095
000048         2020-05-15          569733              125                 03                  000015            000113            000098
000049         2020-05-16          569733              126                 01                  000015            000113            000098
000050         2020-05-17          569733              134                 08                  000016            000114            000098
000051         2020-05-18          569733              143                 09                  000016            000114            000098
000052         2020-05-19          569733              162                 19                  000018            000119            000101
000053         2020-05-20          569733              175                 13                  000018            000123            000105
000054         2020-05-21          569733              197                 22                  000019            000131            000112
000055         2020-05-22          569733              226                 29                  000020            000140            000120
000056         2020-05-23          569733              255                 29                  000020            000142            000122
000057         2020-05-24          569733              272                 17                  000020            000142            000122
000058         2020-05-25          569733              297                 25                  000020            000152            000132
000059         2020-05-26          569733              312                 15                  000020            000181            000161
000060         2020-05-27          569733              321                 09                  000021            000197            000176
000061         2020-05-28          569733              340                 19                  000021            000204            000183
000062         2020-05-29          569733              366                 26                  000022            000219            000197
000063         2020-05-30          569733              403                 37                  000024            000221            000197
000064         2020-05-31          569733              413                 10                  000024            000221            000197
000065         2020-06-01          569733              435                 22                  000025            000265            000240
000066         2020-06-02          569733              452                 17                  000028            000298            000270
000067         2020-06-03          569733              492                 40                  000030            000325            000295
000068         2020-06-04          569733              511                 19                  000031            000357            000326
000069         2020-06-05          569733              540                 29                  000031            000373            000342
000070         2020-06-06          569733              571                 31                  000031            000376            000345
000071         2020-06-07          569733              587                 16                  000031            000376            000345
000072         2020-06-08          569733              597                 10                  000034            000431            000397
000073         2020-06-09          569733              641                 44                  000034            000473            000439
000074         2020-06-10          569733              676                 35                  000034            000496            000462
000075         2020-06-11          569733              723                 47                  000035            000497            000462
000076         2020-06-12          569733              735                 12                  000037            000500            000463
000077         2020-06-13          569733              790                 55                  000040            000553            000513
000078         2020-06-14          569733              795                 05                  000045            000557            000512
000079         2020-06-15          569733              855                 55                  000050            000600            000550
000080         2020-06-16          569733              893                 38                  000051            000628            000577
000081         2020-06-17          569733              915                 22                  000053            000665            000612
000082         2020-06-18          569733              929                 14                  000056            000700            000644
000083         2020-06-19          569733              997                 68                  000059            000703            000644
000084         2020-06-20          569733              1042                45                  000060            000705            000645
000085         2020-06-21          569733              1070                32                  000040            000685            000645
000086         2020-06-22          569733              1080                10                  000062            000785            000723
000087         2020-06-23          569733              1096                16                  000064            000842            000778
000088         2020-06-24          569733              1130                34                  000066            000921            000855
000089         2020-06-25          569733              1176                46                  000068            000947            000879
000090         2020-06-26          569733              1194                18                  000072            001002            000930
000091         2020-06-27          569733              1257                63                  000075            001008            000933
000092         2020-06-28          569733              1294                37                  000076            001009            000933
000093         2020-06-29          569733              1305                11                  000078            001056            000978
000094         2020-06-30          569733              1336                29                  000081            001092            001011
000095         2020-07-01          569733              1346                10                  000082            001133            001051
000096         2020-07-02          569733              1370                24                  000083            001174            001091
000097         2020-07-03          569733              1394                24                  000085            001230            001145
000098         2020-07-04          569733              1455                61                  000086            001247            001161
000099         2020-07-05          569733              1559                104                 000085            001246            001161
000100         2020-07-06          569733              1592                33                  000088            001233            001145
000101         2020-07-07          569733              1694                102                 000090            001400            001310
000102         2020-07-08          569733              1761                67                  000091            001457            001366
000103         2020-07-09          569733              1800                39                  000093            001521            001428
000104         2020-07-10          569733              1825                25                  000093            001579            001486
000105         2020-07-11          569733              1890                65                  000093            001619            001526
000106         2020-07-12          569733              1897                07                  000093            001619            001526
000107         2020-07-13          569733              1926                29                  000095            001706            001611
000108         2020-07-14          569733              2057                131                 000097            001755            001658
000109         2020-07-15          569733              2136                79                  000097            001797            001700
000110         2020-07-16          569733              2244                108                 000098            001846            001748
000111         2020-07-17          569733              2285                41                  000099            001936            001837
000112         2020-07-18          569733              2370                85                  000100            001939            001839
000113         2020-07-19          569733              2403                33                  000101            002022            001921
000114         2020-07-20          569733              2441                38                  000104            002153            002049
000115         2020-07-21          569733              2457                16                  000105            002217            002112
000116         2020-07-22          569733              2583                126                 000107            002326            002219
000117         2020-07-23          569733              2673                90                  000107            002433            002326
000118         2020-07-24          569733              2720                47                  000109            002520            002411
000119         2020-07-25          569733              2819                99                  000111            002522            002411
000120         2020-07-26          569733              2862                43                  000111            002613            002502
000121         2020-07-27          569733              2913                51                  000111            002629            002518
000122         2020-07-28          569733              2946                33                  000112            002698            002586
000123         2020-07-29          569733              3037                40                  000112            002738            002626
000124         2020-07-30          569733              3136                99                  000115            002909            002794
000125         2020-07-31          569733              3199                63                  000118            002997            002879
000126         2020-08-01          569733              3304                105                 000120            003020            002900
000127         2020-08-02          569733              3341                37                  000121            003116            002995
000128         2020-08-03          569733              3402                61                  000122            003146            003024
000129         2020-08-04          569733              3480                78                  000124            003202            003078
000130         2020-08-05          569733              3535                55                  000126            003276            003150
000131         2020-08-06          569733              3566                31                  000128            003287            003159
000132         2020-08-07          569733              3661                95                  000129            003465            003336
000133         2020-08-08          569733              3709                48                  000131            003474            003343
000134         2020-08-09          569733              3750                41                  000131            003474            003343
000135         2020-08-10          569733              3799                49                  000134            003546            003412
000136         2020-08-11          569733              3860                61                  000137            003649            003512
000137         2020-08-12          569733              3951                91                  000138            003721            003583
000138         2020-08-13          569733              4034                83                  000141            003781            003640
000139         2020-08-14          569733              4110                76                  000142            003890            003748
000140         2020-08-15          569733              4208                98                  000145            003896            003751
000141         2020-08-16          569733              4245                37                  000147            003898            003751
000142         2020-08-17          569733              4293                48                  000151            004013            003862
000143         2020-08-18          569733              4401                108                 000152            004047            003895
000144         2020-08-19          569733              4423                22                  000152            004120            003968
000145         2020-08-20          569733              4503                80                  000155            004164            004009
000146         2020-08-21          569733              4540                37                  000156            004166            004010
000147         2020-08-22          569733              4670                130                 000156            004192            004036
000148         2020-08-23          569733              4821                151                 000156            004192            004036
000149         2020-08-24          569733              4963                142                 000156            004304            004148
000150         2020-08-25          569733              5068                105                 000158            004646            004488
000151         2020-08-26          569733              5228                160                 000158            004758            004600
000152         2020-08-27          569733              5371                143                 000161            004824            004663
000153         2020-08-28          569733              5536                165                 000162            005043            004881
000154         2020-08-29          569733              5680                144                 000163            005044            004881
000155         2020-08-30          569733              5829                149                 000165            005251            005086
000156         2020-08-31          569733              5896                67                  000168            005352            005184
000157         2020-09-01          569733              6070                174                 000170            005486            005316
000158         2020-09-02          569733              6242                172                 000174            005774            005600
000159         2020-09-03          569733              6394                152                 000179            005903            005724
000160         2020-09-04          569733              6535                141                 000183            006049            005866
000161         2020-09-05          569733              6717                182                 000186            006111            005925
000162         2020-09-06          569733              6880                163                 000188            006151            005963
000163         2020-09-07          569733              7050                170                 000192            006195            006003
000164         2020-09-08          569733              7172                122                 000196            006530            006334
